Date,Prediction,Actual,Current_Time,predictionAdjusted,actualAdjusted,predictionDiff,actualDiff
2024-03-11,17988.34375,17951.689453125,,17812.43359375,17985.009765625,-175.91015625,33.3203125
2024-03-12,18211.72265625,18219.109375,,18157.11328125,18032.19921875,-54.609375,-186.91015625
2024-03-13,18015.466796875,18068.470703125,,17909.955078125,18240.109375,-105.51171875,171.638671875
2024-03-14,17867.810546875,18014.810546875,,18172.111328125,18320.380859375,304.30078125,305.5703125
2024-03-15,18006.818359375,17808.25,,18099.916015625,18339.439453125,93.09765625,531.189453125
2024-03-18,18020.794921875,17985.009765625,,17988.34375,18277.060546875,-32.451171875,292.05078125
2024-03-19,18017.115234375,18032.19921875,,18211.72265625,18210.5390625,194.607421875,178.33984375
2024-03-20,18152.998046875,18240.109375,,18015.466796875,18280.83984375,-137.53125,40.73046875
2024-03-21,17992.751953125,18320.380859375,,17867.810546875,18254.689453125,-124.94140625,-65.69140625
2024-03-22,18249.74609375,18339.439453125,,18006.818359375,18293.19921875,-242.927734375,-46.240234375
2024-03-25,18008.73046875,18277.060546875,,18020.794921875,18121.779296875,12.064453125,-155.28125
2024-03-26,18219.78125,18210.5390625,,18017.115234375,18160.189453125,-202.666015625,-50.349609375
2024-03-27,17926.4375,18280.83984375,,18152.998046875,17878.779296875,226.560546875,-402.060546875
2024-03-28,18252.373046875,18254.689453125,,17992.751953125,18108.4609375,-259.62109375,-146.228515625
2024-04-01,18213.79296875,18293.19921875,,18249.74609375,18100.189453125,35.953125,-193.009765625
2024-04-02,18095.17578125,18121.779296875,,18008.73046875,18169.900390625,-86.4453125,48.12109375
2024-04-03,18075.353515625,18160.189453125,,18219.78125,18011.66015625,144.427734375,-148.529296875
2024-04-04,18222.873046875,17878.779296875,,17926.4375,18307.98046875,-296.435546875,429.201171875
2024-04-05,18042.181640625,18108.4609375,,18252.373046875,18003.490234375,210.19140625,-104.970703125
2024-04-08,17917.05078125,18100.189453125,,18213.79296875,17706.830078125,296.7421875,-393.359375
2024-04-09,18128.95703125,18169.900390625,,18095.17578125,17713.66015625,-33.78125,-456.240234375
2024-04-10,18114.671875,18011.66015625,,18075.353515625,17493.619140625,-39.318359375,-518.041015625
2024-04-11,18025.19921875,18307.98046875,,18222.873046875,17394.310546875,197.673828125,-913.669921875
2024-04-12,18107.427734375,18003.490234375,,18042.181640625,17037.650390625,-65.24609375,-965.83984375
2024-04-15,17988.826171875,17706.830078125,,17917.05078125,17210.890625,-71.775390625,-495.939453125
2024-04-16,18042.435546875,17713.66015625,,18128.95703125,17471.470703125,86.521484375,-242.189453125
2024-04-17,18130.361328125,17493.619140625,,18114.671875,17526.80078125,-15.689453125,33.181640625
2024-04-18,18150.40234375,17394.310546875,,18025.19921875,17430.5,-125.203125,36.189453125
2024-04-19,18126.1328125,17037.650390625,,18107.427734375,17718.30078125,-18.705078125,680.650390625
2024-04-22,17736.724609375,17210.890625,,17988.826171875,17782.720703125,252.1015625,571.830078125
2024-04-23,18146.8984375,17471.470703125,,18042.435546875,17440.689453125,-104.462890625,-30.78125
2024-04-24,17651.298828125,17526.80078125,,18130.361328125,17318.55078125,479.0625,-208.25
2024-04-25,17872.033203125,17430.5,,18150.40234375,17541.5390625,278.369140625,111.0390625
2024-04-26,16915.16796875,17718.30078125,,18126.1328125,17890.80078125,1210.96484375,172.5
2024-04-29,17292.900390625,17782.720703125,,17736.724609375,18093.5703125,443.82421875,310.849609375
2024-04-30,17309.9453125,17440.689453125,,18146.8984375,18091.44921875,836.953125,650.759765625
2024-05-01,16797.787109375,17318.55078125,,17651.298828125,18085.009765625,853.51171875,766.458984375
2024-05-02,17306.861328125,17541.5390625,,17872.033203125,18113.4609375,565.171875,571.921875
2024-05-03,17409.29296875,17890.80078125,,16915.16796875,18161.1796875,-494.125,270.37890625
2024-05-06,17882.623046875,18093.5703125,,17292.900390625,18198.609375,-589.72265625,105.0390625
2024-05-07,17875.505859375,18091.44921875,,17309.9453125,18322.76953125,-565.560546875,231.3203125
2024-05-08,18196.376953125,18085.009765625,,16797.787109375,18596.650390625,-1398.58984375,511.640625
2024-05-09,17600.162109375,18113.4609375,,17306.861328125,18557.9609375,-293.30078125,444.5
2024-05-10,17957.43359375,18161.1796875,,17409.29296875,18546.23046875,-548.140625,385.05078125
2024-05-13,18121.345703125,18198.609375,,17882.623046875,18674.189453125,-238.72265625,475.580078125
2024-05-14,18014.984375,18322.76953125,,17875.505859375,18713.80078125,-139.478515625,391.03125
2024-05-15,18233.9453125,18596.650390625,,18196.376953125,18705.19921875,-37.568359375,108.548828125
2024-05-16,18077.677734375,18557.9609375,,17600.162109375,18623.390625,-477.515625,65.4296875
2024-05-17,18269.14453125,18546.23046875,,17957.43359375,18808.349609375,-311.7109375,262.119140625
2024-05-20,18178.17578125,18674.189453125,,18121.345703125,18869.439453125,-56.830078125,195.25
2024-05-21,18438.171875,18713.80078125,,18014.984375,18736.75,-423.1875,22.94921875
2024-05-22,18315.009765625,18705.19921875,,18233.9453125,18538.66015625,-81.064453125,-166.5390625
2024-05-23,17971.955078125,18623.390625,,18077.677734375,18536.650390625,105.72265625,-86.740234375
2024-05-24,18505.90625,18808.349609375,,18269.14453125,18600.970703125,-236.76171875,-207.37890625
2024-05-28,18453.529296875,18869.439453125,,18178.17578125,18654.83984375,-275.353515625,-214.599609375
