Date,Prediction,Actual,Current_Time,predictionAdjusted,actualAdjusted,predictionDiff,actualDiff
2024-03-12,65433.6875,71481.2890625,,61065.95703125,61912.7734375,-4367.73046875,-9568.515625
2024-03-13,65932.671875,73083.5,,59494.875,67913.671875,-6437.796875,-5169.828125
2024-03-14,68998.34375,71396.59375,,65590.03125,65491.390625,-3408.3125,-5905.203125
2024-03-15,64087.3203125,69403.7734375,,62632.9453125,63778.76171875,-1454.375,-5625.01171875
2024-03-16,62949.1484375,65315.1171875,,60820.75390625,64062.203125,-2128.39453125,-1252.9140625
2024-03-19,67372.9921875,61912.7734375,,65433.6875,69987.8359375,-1939.3046875,8075.0625
2024-03-20,66482.9296875,67913.671875,,65932.671875,69455.34375,-550.2578125,1541.671875
2024-03-21,69742.234375,65491.390625,,68998.34375,70744.953125,-743.890625,5253.5625
2024-03-22,66483.3515625,63778.76171875,,64087.3203125,69892.828125,-2396.03125,6114.06640625
2024-03-23,67423.125,64062.203125,,62949.1484375,69645.3046875,-4473.9765625,5583.1015625
2024-03-26,69652.4765625,69987.8359375,,67372.9921875,65446.97265625,-2279.484375,-4540.86328125
2024-03-27,67854.390625,69455.34375,,66482.9296875,65980.8125,-1371.4609375,-3474.53125
2024-03-28,67276.8359375,70744.953125,,69742.234375,68508.84375,2465.3984375,-2236.109375
2024-03-29,64932.5703125,69892.828125,,66483.3515625,67837.640625,1550.78125,-2055.1875
2024-03-30,64995.734375,69645.3046875,,67423.125,68896.109375,2427.390625,-749.1953125
2024-04-02,61686.92578125,65446.97265625,,69652.4765625,69139.015625,7965.55078125,3692.04296875
2024-04-03,61804.5234375,65980.8125,,67854.390625,70587.8828125,6049.8671875,4607.0703125
2024-04-04,59785.8671875,68508.84375,,67276.8359375,70060.609375,7490.96875,1551.765625
2024-04-05,65486.22265625,67837.640625,,64932.5703125,67195.8671875,-553.65234375,-641.7734375
2024-04-06,64492.0234375,68896.109375,,64995.734375,63821.47265625,503.7109375,-5074.63671875
2024-04-09,69956.5703125,69139.015625,,61686.92578125,63811.86328125,-8269.64453125,-5327.15234375
2024-04-10,70341.9296875,70587.8828125,,61804.5234375,61276.69140625,-8537.40625,-9311.19140625
2024-04-11,70488.8203125,70060.609375,,59785.8671875,63512.75390625,-10702.953125,-6547.85546875
2024-04-12,71200.7109375,67195.8671875,,65486.22265625,63843.5703125,-5714.48828125,-3352.296875
2024-04-13,70504.2421875,63821.47265625,,64492.0234375,64994.44140625,-6012.21875,1172.96875
2024-04-16,57785.1796875,63811.86328125,,69956.5703125,66407.2734375,12171.390625,2595.41015625
2024-04-17,62337.46484375,61276.69140625,,70341.9296875,64276.8984375,8004.46484375,3000.20703125
2024-04-18,58037.7421875,63512.75390625,,70488.8203125,64481.70703125,12451.078125,968.953125
2024-04-19,58874.79296875,63843.5703125,,71200.7109375,63755.3203125,12325.91796875,-88.25
2024-04-20,62531.0078125,64994.44140625,,70504.2421875,63419.140625,7973.234375,-1575.30078125
2024-04-23,63094.6484375,66407.2734375,,57785.1796875,60636.85546875,-5309.46875,-5770.41796875
2024-04-24,59139.1328125,64276.8984375,,62337.46484375,58254.01171875,3198.33203125,-6022.88671875
2024-04-25,62639.91015625,64481.70703125,,58037.7421875,59123.43359375,-4602.16796875,-5358.2734375
2024-04-26,58547.37890625,63755.3203125,,58874.79296875,62889.8359375,327.4140625,-865.484375
