Unnamed: 0,Date,Prediction,Actual,Current_Time,predictionAdjusted,actualAdjusted,predictionDiff,actualDiff
5,2024-03-11,2417.985107421875,2479.360107421875,,2371.906982421875,2504.800048828125,-46.078125,25.43994140625
6,2024-03-12,2439.511962890625,2521.909912109375,,2441.54296875,2514.919921875,2.031005859375,-6.989990234375
7,2024-03-13,2519.803466796875,2527.4599609375,,2422.25,2510.43994140625,-97.553466796875,-17.02001953125
8,2024-03-14,2475.852294921875,2527.85009765625,,2407.0361328125,2550.5,-68.816162109375,22.64990234375
9,2024-03-15,2561.581787109375,2533.6201171875,,2376.610107421875,2534.340087890625,-184.9716796875,0.719970703125
10,2024-03-18,2524.966064453125,2504.800048828125,,2417.985107421875,2526.070068359375,-106.98095703125,21.27001953125
11,2024-03-19,2520.871826171875,2514.919921875,,2439.511962890625,2547.969970703125,-81.35986328125,33.050048828125
12,2024-03-20,2538.030029296875,2510.43994140625,,2519.803466796875,2537.3701171875,-18.2265625,26.93017578125
13,2024-03-21,2545.1875,2550.5,,2475.852294921875,2518.27001953125,-69.335205078125,-32.22998046875
14,2024-03-22,2541.47021484375,2534.340087890625,,2561.581787109375,2508.64990234375,20.111572265625,-25.690185546875
15,2024-03-25,2486.752685546875,2526.070068359375,,2524.966064453125,2513.52001953125,38.21337890625,-12.550048828125
16,2024-03-26,2453.531982421875,2547.969970703125,,2520.871826171875,2521.860107421875,67.33984375,-26.10986328125
17,2024-03-27,2561.761962890625,2537.3701171875,,2538.030029296875,2504.800048828125,-23.73193359375,-32.570068359375
18,2024-03-28,2579.8916015625,2518.27001953125,,2545.1875,2522.360107421875,-34.7041015625,4.090087890625
21,2024-04-02,2554.474853515625,2508.64990234375,,2541.47021484375,2513.5,-13.004638671875,4.85009765625
22,2024-04-03,2532.51318359375,2513.52001953125,,2486.752685546875,2519.050048828125,-45.760498046875,5.530029296875
23,2024-04-04,2539.731201171875,2521.860107421875,,2453.531982421875,2499.699951171875,-86.19921875,-22.16015625
24,2024-04-05,2484.690673828125,2504.800048828125,,2561.761962890625,2506.989990234375,77.0712890625,2.18994140625
25,2024-04-08,2506.91357421875,2522.360107421875,,2579.8916015625,2523.39990234375,72.97802734375,1.039794921875
26,2024-04-09,2518.232177734375,2513.5,,2554.474853515625,2491.760009765625,36.24267578125,-21.739990234375
27,2024-04-10,2503.007568359375,2519.050048828125,,2532.51318359375,2505.27001953125,29.505615234375,-13.780029296875
28,2024-04-11,2511.631591796875,2499.699951171875,,2539.731201171875,2517.68994140625,28.099609375,17.989990234375
29,2024-04-12,2469.76953125,2506.989990234375,,2484.690673828125,2502.070068359375,14.921142578125,-4.919921875
30,2024-04-15,2477.596923828125,2523.39990234375,,2506.91357421875,2511.409912109375,29.316650390625,-11.989990234375
31,2024-04-16,2548.474365234375,2491.760009765625,,2518.232177734375,2546.330078125,-30.2421875,54.570068359375
32,2024-04-17,2514.004638671875,2505.27001953125,,2503.007568359375,2543.2099609375,-10.9970703125,37.93994140625
33,2024-04-18,2463.418212890625,2517.68994140625,,2511.631591796875,2525.39990234375,48.21337890625,7.7099609375
34,2024-04-19,2502.826904296875,2502.070068359375,,2469.76953125,2557.699951171875,-33.057373046875,55.6298828125
35,2024-04-22,2479.92724609375,2511.409912109375,,2477.596923828125,2566.81005859375,-2.330322265625,55.400146484375
36,2024-04-23,2531.08642578125,2546.330078125,,2548.474365234375,2556.39990234375,17.387939453125,10.06982421875
37,2024-04-24,2472.31005859375,2543.2099609375,,2514.004638671875,2525.2099609375,41.694580078125,-18.0
38,2024-04-25,2494.0712890625,2525.39990234375,,2463.418212890625,2540.080078125,-30.653076171875,14.68017578125
39,2024-04-26,2474.62255859375,2557.699951171875,,2502.826904296875,2563.7900390625,28.204345703125,6.090087890625
40,2024-04-29,2480.147216796875,2566.81005859375,,2479.92724609375,2593.169921875,-0.219970703125,26.35986328125
41,2024-04-30,2567.223876953125,2556.39990234375,,2531.08642578125,2589.10009765625,-36.137451171875,32.7001953125
43,2024-05-02,2530.149658203125,2525.2099609375,,2472.31005859375,2627.8701171875,-57.839599609375,102.66015625
44,2024-05-03,2517.906494140625,2540.080078125,,2494.0712890625,2624.760009765625,-23.835205078125,84.679931640625
45,2024-05-06,2547.0263671875,2563.7900390625,,2474.62255859375,2632.85009765625,-72.40380859375,69.06005859375
