Unnamed: 0,Date,Prediction,Actual,Current_Time,predictionAdjusted,actualAdjusted,predictionDiff,actualDiff
5,2024-03-11,2384.840087890625,2479.360107421875,,2290.86962890625,2504.800048828125,-93.970458984375,25.43994140625
6,2024-03-12,2426.92236328125,2521.909912109375,,2422.402099609375,2514.919921875,-4.520263671875,-6.989990234375
7,2024-03-13,2480.732666015625,2527.4599609375,,2352.8837890625,2510.43994140625,-127.848876953125,-17.02001953125
8,2024-03-14,2432.67724609375,2527.85009765625,,2341.210693359375,2550.5,-91.466552734375,22.64990234375
9,2024-03-15,2434.56787109375,2533.6201171875,,2362.6962890625,2534.340087890625,-71.87158203125,0.719970703125
10,2024-03-18,2446.224609375,2504.800048828125,,2384.840087890625,2526.070068359375,-61.384521484375,21.27001953125
11,2024-03-19,2501.104736328125,2514.919921875,,2426.92236328125,2547.969970703125,-74.182373046875,33.050048828125
12,2024-03-20,2471.739013671875,2510.43994140625,,2480.732666015625,2537.3701171875,8.99365234375,26.93017578125
13,2024-03-21,2486.800537109375,2550.5,,2432.67724609375,2518.27001953125,-54.123291015625,-32.22998046875
14,2024-03-22,2419.045166015625,2534.340087890625,,2434.56787109375,2508.64990234375,15.522705078125,-25.690185546875
15,2024-03-25,2450.99462890625,2526.070068359375,,2446.224609375,2513.52001953125,-4.77001953125,-12.550048828125
16,2024-03-26,2504.8095703125,2547.969970703125,,2501.104736328125,2521.860107421875,-3.704833984375,-26.10986328125
17,2024-03-27,2540.309814453125,2537.3701171875,,2471.739013671875,2504.800048828125,-68.57080078125,-32.570068359375
18,2024-03-28,2541.86669921875,2518.27001953125,,2486.800537109375,2522.360107421875,-55.066162109375,4.090087890625
21,2024-04-02,2468.517333984375,2508.64990234375,,2419.045166015625,2513.5,-49.47216796875,4.85009765625
22,2024-04-03,2474.96728515625,2513.52001953125,,2450.99462890625,2519.050048828125,-23.97265625,5.530029296875
23,2024-04-04,2523.448486328125,2521.860107421875,,2504.8095703125,2499.699951171875,-18.638916015625,-22.16015625
24,2024-04-05,2526.49609375,2504.800048828125,,2540.309814453125,2506.989990234375,13.813720703125,2.18994140625
25,2024-04-08,2521.119384765625,2522.360107421875,,2541.86669921875,2523.39990234375,20.747314453125,1.039794921875
26,2024-04-09,2540.607421875,2513.5,,2468.517333984375,2491.760009765625,-72.090087890625,-21.739990234375
27,2024-04-10,2529.256103515625,2519.050048828125,,2474.96728515625,2505.27001953125,-54.288818359375,-13.780029296875
28,2024-04-11,2509.8525390625,2499.699951171875,,2523.448486328125,2517.68994140625,13.595947265625,17.989990234375
29,2024-04-12,2488.837646484375,2506.989990234375,,2526.49609375,2502.070068359375,37.658447265625,-4.919921875
30,2024-04-15,2506.277099609375,2523.39990234375,,2521.119384765625,2511.409912109375,14.84228515625,-11.989990234375
31,2024-04-16,2496.4453125,2491.760009765625,,2540.607421875,2546.330078125,44.162109375,54.570068359375
32,2024-04-17,2500.565185546875,2505.27001953125,,2529.256103515625,2543.2099609375,28.69091796875,37.93994140625
33,2024-04-18,2529.775390625,2517.68994140625,,2509.8525390625,2525.39990234375,-19.9228515625,7.7099609375
34,2024-04-19,2510.40234375,2502.070068359375,,2488.837646484375,2557.699951171875,-21.564697265625,55.6298828125
35,2024-04-22,2517.95703125,2511.409912109375,,2506.277099609375,2566.81005859375,-11.679931640625,55.400146484375
36,2024-04-23,2534.97802734375,2546.330078125,,2496.4453125,2556.39990234375,-38.53271484375,10.06982421875
37,2024-04-24,2502.867431640625,2543.2099609375,,2500.565185546875,2525.2099609375,-2.30224609375,-18.0
38,2024-04-25,2530.408447265625,2525.39990234375,,2529.775390625,2540.080078125,-0.633056640625,14.68017578125
39,2024-04-26,2506.15625,2557.699951171875,,2510.40234375,2563.7900390625,4.24609375,6.090087890625
40,2024-04-29,2464.16455078125,2566.81005859375,,2517.95703125,2593.169921875,53.79248046875,26.35986328125
41,2024-04-30,2542.394775390625,2556.39990234375,,2534.97802734375,2589.10009765625,-7.416748046875,32.7001953125
43,2024-05-02,2552.12109375,2525.2099609375,,2502.867431640625,2627.8701171875,-49.253662109375,102.66015625
44,2024-05-03,2538.85009765625,2540.080078125,,2530.408447265625,2624.760009765625,-8.441650390625,84.679931640625
45,2024-05-06,2534.259033203125,2563.7900390625,,2506.15625,2632.85009765625,-28.102783203125,69.06005859375
46,2024-05-07,2558.83740234375,2593.169921875,,2464.16455078125,2627.52001953125,-94.6728515625,34.35009765625
47,2024-05-08,2571.333251953125,2589.10009765625,,2542.394775390625,2608.820068359375,-28.9384765625,19.719970703125
49,2024-05-10,2547.657470703125,2627.8701171875,,2552.12109375,2602.199951171875,4.463623046875,-25.670166015625
50,2024-05-13,2611.694091796875,2624.760009765625,,2538.85009765625,2632.169921875,-72.843994140625,7.409912109375
51,2024-05-14,2617.640625,2632.85009765625,,2534.259033203125,2631.489990234375,-83.381591796875,-1.360107421875
52,2024-05-15,2575.984619140625,2627.52001953125,,2558.83740234375,2634.510009765625,-17.147216796875,6.989990234375
53,2024-05-16,2606.223876953125,2608.820068359375,,2571.333251953125,2641.469970703125,-34.890625,32.64990234375
54,2024-05-17,2532.14892578125,2602.199951171875,,2547.657470703125,2624.5,15.508544921875,22.300048828125
55,2024-05-20,2588.669189453125,2632.169921875,,2611.694091796875,2630.300048828125,23.02490234375,-1.869873046875
56,2024-05-21,2536.0849609375,2631.489990234375,,2617.640625,2616.2900390625,81.5556640625,-15.199951171875
57,2024-05-22,2587.4111328125,2634.510009765625,,2575.984619140625,2583.5,-11.426513671875,-51.010009765625
58,2024-05-23,2585.180419921875,2641.469970703125,,2606.223876953125,2593.070068359375,21.04345703125,-48.39990234375
59,2024-05-24,2626.88330078125,2624.5,,2532.14892578125,2604.10009765625,-94.734375,-20.39990234375
60,2024-05-27,2619.0205078125,2630.300048828125,,2588.669189453125,2612.02001953125,-30.351318359375,-18.280029296875
61,2024-05-28,2625.076171875,2616.2900390625,,2536.0849609375,2587.699951171875,-88.9912109375,-28.590087890625
62,2024-05-29,2615.86083984375,2583.5,,2587.4111328125,2609.719970703125,-28.44970703125,26.219970703125
63,2024-05-30,2564.061279296875,2593.070068359375,,2585.180419921875,2623.590087890625,21.119140625,30.52001953125
64,2024-05-31,2553.20947265625,2604.10009765625,,2626.88330078125,2600.719970703125,73.673828125,-3.380126953125
65,2024-06-03,2582.1826171875,2612.02001953125,,2619.0205078125,2586.9599609375,36.837890625,-25.06005859375
66,2024-06-04,2620.9375,2587.699951171875,,2625.076171875,2627.1201171875,4.138671875,39.420166015625
67,2024-06-05,2598.283935546875,2609.719970703125,,2615.86083984375,2587.110107421875,17.576904296875,-22.60986328125
69,2024-06-07,2585.9541015625,2623.590087890625,,2564.061279296875,2561.60009765625,-21.892822265625,-61.989990234375
70,2024-06-10,2584.968505859375,2600.719970703125,,2553.20947265625,2558.510009765625,-31.759033203125,-42.2099609375
71,2024-06-11,2579.69140625,2586.9599609375,,2582.1826171875,2566.489990234375,2.4912109375,-20.469970703125
72,2024-06-12,2615.510986328125,2627.1201171875,,2620.9375,2554.2099609375,5.426513671875,-72.91015625
73,2024-06-13,2615.76171875,2587.110107421875,,2598.283935546875,2573.77001953125,-17.477783203125,-13.340087890625
74,2024-06-14,2583.367431640625,2561.60009765625,,2585.9541015625,2594.5400390625,2.586669921875,32.93994140625
75,2024-06-17,2600.619140625,2558.510009765625,2024-11-14 23:48:50,2584.968505859375,2561.570068359375,-15.650634765625,3.06005859375
76,2024-06-18,2606.95556640625,2566.489990234375,2024-11-14 23:53:35,2579.69140625,2572.239990234375,-27.26416015625,5.75
77,2024-06-19,2543.01708984375,2554.2099609375,2024-11-14 23:58:23,2615.510986328125,2557.8701171875,72.493896484375,3.66015625
78,2024-06-20,2599.403076171875,2573.77001953125,2024-11-15 00:03:11,2615.76171875,2569.449951171875,16.358642578125,-4.320068359375
80,2024-06-24,2526.832275390625,2594.5400390625,2024-11-15 00:12:44,2583.367431640625,2584.830078125,56.53515625,-9.7099609375
81,2024-06-25,2609.343505859375,2561.570068359375,2024-11-15 00:17:37,2600.619140625,2554.1201171875,-8.724365234375,-7.449951171875
82,2024-06-26,2585.202392578125,2572.239990234375,2024-11-15 00:22:41,2606.95556640625,2565.27001953125,21.753173828125,-6.969970703125
83,2024-06-27,2589.07275390625,2557.8701171875,2024-11-15 00:27:27,2543.01708984375,2571.8701171875,-46.0556640625,14.0
84,2024-06-28,2575.883056640625,2569.449951171875,2024-11-15 00:32:11,2599.403076171875,2556.530029296875,23.52001953125,-12.919921875
85,2024-07-01,2614.8740234375,2584.830078125,2024-11-15 00:36:58,2526.832275390625,2564.300048828125,-88.041748046875,-20.530029296875
86,2024-07-02,2578.926025390625,2554.1201171875,2024-11-15 00:41:45,2609.343505859375,2534.219970703125,30.41748046875,-19.900146484375
87,2024-07-03,2583.05126953125,2565.27001953125,2024-11-15 00:46:33,2585.202392578125,2548.39990234375,2.151123046875,-16.8701171875
88,2024-07-04,2559.51171875,2571.8701171875,2024-11-15 00:51:23,2589.07275390625,2574.280029296875,29.56103515625,2.409912109375
89,2024-07-05,2566.0595703125,2556.530029296875,2024-11-15 00:56:09,2575.883056640625,2630.610107421875,9.823486328125,74.080078125
90,2024-07-08,2578.432861328125,2564.300048828125,2024-11-15 01:00:55,2614.8740234375,2605.2900390625,36.441162109375,40.989990234375
91,2024-07-09,2565.769775390625,2534.219970703125,2024-11-15 01:05:46,2578.926025390625,2613.580078125,13.15625,79.360107421875
92,2024-07-10,2556.35693359375,2548.39990234375,2024-11-15 01:10:32,2583.05126953125,2597.56005859375,26.6943359375,49.16015625
93,2024-07-11,2558.215576171875,2574.280029296875,2024-11-15 01:15:18,2559.51171875,2597.7900390625,1.296142578125,23.510009765625
94,2024-07-12,2538.34521484375,2630.610107421875,2024-11-15 01:20:05,2566.0595703125,2570.6298828125,27.71435546875,-59.980224609375
95,2024-07-15,2579.3134765625,2605.2900390625,2024-11-15 01:24:52,2578.432861328125,2593.429931640625,-0.880615234375,-11.860107421875
96,2024-07-16,2608.4873046875,2613.580078125,2024-11-15 01:29:40,2565.769775390625,2596.429931640625,-42.717529296875,-17.150146484375
97,2024-07-17,2623.40185546875,2597.56005859375,2024-11-15 01:34:33,2556.35693359375,2570.969970703125,-67.044921875,-26.590087890625
98,2024-07-18,2616.245361328125,2597.7900390625,2024-11-15 01:39:27,2558.215576171875,2562.3701171875,-58.02978515625,-35.419921875
99,2024-07-19,2623.421142578125,2570.6298828125,2024-11-15 01:44:13,2538.34521484375,2578.75,-85.075927734375,8.1201171875
100,2024-07-22,2583.846923828125,2593.429931640625,2024-11-15 01:49:01,2579.3134765625,2580.0,-4.533447265625,-13.429931640625
101,2024-07-23,2567.98974609375,2596.429931640625,2024-11-15 01:53:51,2608.4873046875,2595.25,40.49755859375,-1.179931640625
102,2024-07-24,2598.516845703125,2570.969970703125,2024-11-15 01:58:41,2623.40185546875,2609.330078125,24.885009765625,38.360107421875
103,2024-07-25,2579.439208984375,2562.3701171875,2024-11-15 02:03:30,2616.245361328125,2547.179931640625,36.80615234375,-15.190185546875
104,2024-07-26,2581.9794921875,2578.75,2024-11-15 02:08:18,2623.421142578125,2467.0,41.441650390625,-111.75
105,2024-07-29,2593.972412109375,2580.0,2024-11-15 02:13:05,2583.846923828125,2411.260009765625,-10.12548828125,-168.739990234375
106,2024-07-30,2605.306884765625,2595.25,2024-11-15 02:17:52,2567.98974609375,2402.9599609375,-37.317138671875,-192.2900390625
107,2024-07-31,2632.221923828125,2609.330078125,2024-11-15 02:22:38,2598.516845703125,2442.1298828125,-33.705078125,-167.2001953125
108,2024-08-01,2612.875,2547.179931640625,2024-11-15 02:27:24,2579.439208984375,2450.389892578125,-33.435791015625,-96.7900390625
109,2024-08-02,2587.83544921875,2467.0,2024-11-15 02:32:10,2581.9794921875,2458.590087890625,-5.85595703125,-8.409912109375
