Date,Prediction,Actual,Current_Time
2024-03-04,17931.046875,18226.48046875,
2024-03-05,17811.35546875,17897.869140625,
2024-03-06,18014.81640625,18017.5703125,
2024-03-07,18075.369140625,18297.990234375,
2024-03-08,18094.267578125,18018.44921875,
2024-03-11,17909.240234375,17951.689453125,
2024-03-12,17869.078125,18219.109375,
2024-03-13,18067.73828125,18068.470703125,
2024-03-14,17943.32421875,18014.810546875,
2024-03-15,17956.45703125,17808.25,
2024-03-18,17956.279296875,17985.009765625,
2024-03-19,17440.640625,18032.19921875,
2024-03-20,17949.505859375,18240.109375,
2024-03-21,17977.826171875,18320.380859375,
2024-03-22,17877.10546875,18339.439453125,
2024-03-25,18195.85546875,18277.060546875,
2024-03-26,18166.46484375,18210.5390625,
2024-03-27,18218.744140625,18280.83984375,
2024-03-28,18062.013671875,18254.689453125,
2024-03-28,18249.751953125,18254.689453125,
2024-04-01,18322.37109375,18293.19921875,
2024-04-02,18293.833984375,18121.779296875,
2024-04-03,18309.755859375,18160.189453125,
2024-04-04,18197.55859375,17878.779296875,
2024-04-05,18150.34375,18108.4609375,
2024-04-08,18253.048828125,18100.189453125,
2024-04-09,17937.50390625,18169.900390625,
2024-04-10,18275.658203125,18011.66015625,
2024-04-11,18141.43359375,18307.98046875,
2024-04-12,18001.390625,18003.490234375,
2024-04-15,18106.36328125,17706.830078125,
2024-04-16,17783.306640625,17713.66015625,
2024-04-17,17872.857421875,17493.619140625,
2024-04-18,18305.01953125,17394.310546875,
2024-04-19,17577.775390625,17037.650390625,
2024-04-22,17954.861328125,17210.890625,
2024-04-23,17619.068359375,17471.470703125,
2024-04-24,17636.306640625,17526.80078125,
2024-04-25,17975.453125,17430.5,
2024-04-26,17258.703125,17718.30078125,
2024-04-29,17146.68359375,17782.720703125,
2024-04-30,17102.8828125,17440.689453125,
2024-05-01,17409.41796875,17318.55078125,
2024-05-02,16980.251953125,17541.5390625,
2024-05-03,17221.048828125,17890.80078125,
2024-05-06,17132.1328125,18093.5703125,
2024-05-07,17808.693359375,18091.44921875,
2024-05-08,17979.4140625,18085.009765625,
2024-05-09,17935.890625,18113.4609375,
2024-05-10,18016.14453125,18161.1796875,
2024-05-13,18116.666015625,18198.609375,
2024-05-14,18241.001953125,18322.76953125,
2024-05-15,18293.455078125,18596.650390625,
2024-05-16,18243.0703125,18557.9609375,
2024-05-17,18481.9296875,18546.23046875,
2024-05-20,18278.708984375,18674.189453125,
2024-05-21,18146.4921875,18713.80078125,
2024-05-22,18207.0625,18705.19921875,
2024-05-23,18150.62109375,18623.390625,
2024-05-24,17954.138671875,18808.349609375,
2024-05-24,17881.955078125,18808.349609375,
2024-05-28,18011.32421875,18869.439453125,
2024-05-29,17900.701171875,18736.75,
2024-05-30,18302.7578125,18538.66015625,
2024-05-31,18434.34375,18536.650390625,
2024-06-03,18201.57421875,18600.970703125,
2024-06-04,18818.265625,18654.83984375,
2024-06-05,18698.1015625,19035.05078125,
2024-06-06,18350.8515625,19021.189453125,
2024-06-07,19065.35546875,19000.94921875,
2024-06-10,18668.244140625,19074.669921875,
2024-06-11,18679.90625,19210.1796875,
2024-06-12,18254.390625,19465.1796875,
2024-06-13,18653.662109375,19576.919921875,
2024-06-14,19261.236328125,19659.80078125,
2024-06-17,18521.865234375,19902.75,
2024-06-18,18984.716796875,19908.859375,
2024-06-18,18993.529296875,19908.859375,
2024-06-20,19522.5390625,19752.30078125,
2024-06-21,19565.236328125,19700.4296875,
2024-06-24,19425.9921875,19474.619140625,
2024-06-25,19069.013671875,19701.130859375,
2024-06-26,18893.107421875,19751.05078125,
2024-06-27,19091.7890625,19789.029296875,
2024-06-28,18202.73828125,19682.869140625,
2024-07-01,18564.39453125,19812.220703125,
2024-07-02,19099.361328125,20011.890625,
2024-07-03,19775.13671875,20186.630859375,
2024-07-03,19259.947265625,20186.630859375,
2024-07-05,20236.537109375,20391.970703125,
2024-07-08,20199.1640625,20439.5390625,
2024-07-09,19028.421875,20453.01953125,
2024-07-10,18139.978515625,20675.380859375,
2024-07-11,20174.4140625,20211.359375,
2024-07-12,19779.904296875,20331.490234375,
2024-07-15,20249.490234375,20386.880859375,
2024-07-16,19291.275390625,20398.619140625,
2024-07-17,20268.447265625,19799.140625,
2024-07-18,20000.427734375,19705.08984375,
2024-07-19,19868.853515625,19522.619140625,
2024-07-22,19513.06640625,19822.869140625,
2024-07-23,19333.501953125,19754.33984375,
2024-07-24,19772.23828125,19032.390625,
2024-07-25,18844.416015625,18830.580078125,
2024-07-26,19357.125,19023.66015625,
2024-07-29,18345.76171875,19059.490234375,
2024-07-30,18775.111328125,18796.26953125,
2024-07-31,18852.115234375,19362.4296875,
2024-08-01,18991.31640625,18890.390625,
2024-08-02,18858.79296875,18440.849609375,
2024-08-05,18600.595703125,17895.16015625,
2024-08-06,17591.357421875,18077.919921875,
2024-08-07,18436.6796875,17867.369140625,
2024-08-08,17163.861328125,18413.8203125,
2024-08-09,18073.216796875,18513.099609375,
2024-08-12,17405.3671875,18542.029296875,
2024-08-13,19388.53125,19006.4296875,
2024-08-14,18033.208984375,19022.6796875,
2024-08-15,19098.3125,19490.150390625,
2024-08-16,19237.8828125,19508.51953125,
2024-08-19,19490.5234375,19766.490234375,
2024-08-20,19176.19921875,19719.8203125,
2024-08-21,19591.146484375,19824.83984375,
2024-08-22,19661.95703125,19491.83984375,
2024-08-23,19738.642578125,19720.869140625,
2024-08-26,19810.509765625,19516.439453125,
2024-08-27,19876.244140625,19581.51953125,
2024-08-28,20215.783203125,19350.779296875,
2024-08-29,19938.771484375,19325.44921875,
2024-08-30,19025.234375,19574.640625,
2024-08-30,19621.236328125,19574.640625,
2024-08-30,19762.904296875,19574.640625,2024-12-01 00:05:02
2024-09-03,19812.28125,18958.740234375,2024-12-01 00:08:54
2024-09-04,19919.63671875,18921.400390625,2024-12-01 00:12:43
2024-09-05,18596.216796875,18930.330078125,2024-12-01 00:16:34
2024-09-06,18714.44921875,18421.310546875,2024-12-01 00:20:24
2024-09-09,18269.578125,18660.779296875,2024-12-01 00:24:14
2024-09-10,18711.35546875,18829.140625,2024-12-01 00:28:05
2024-09-11,18900.837890625,19237.30078125,2024-12-01 00:31:57
2024-09-12,19106.736328125,19423.0703125,2024-12-01 00:35:46
2024-09-13,19912.34765625,19514.58984375,2024-12-01 00:39:38
2024-09-16,19466.83984375,19423.060546875,2024-12-01 00:43:31
2024-09-17,19785.333984375,19432.400390625,2024-12-01 00:47:21
2024-09-18,19454.63671875,19344.490234375,2024-12-01 00:51:11
2024-09-19,19144.15625,19839.830078125,2024-12-01 00:55:02
2024-09-20,19404.986328125,19791.490234375,2024-12-01 00:58:52
2024-09-23,19385.755859375,19852.19921875,2024-12-01 01:02:46
2024-09-24,19528.455078125,19944.83984375,2024-12-01 01:06:32
2024-09-25,19802.4765625,19972.609375,2024-12-01 01:10:21
2024-09-26,19724.48046875,20115.5390625,2024-12-01 01:14:15
2024-09-27,19654.23828125,20008.619140625,2024-12-01 01:18:07
2024-09-30,19580.134765625,20060.689453125,2024-12-01 01:21:58
2024-10-01,19674.5078125,19773.30078125,2024-12-01 01:25:51
2024-10-02,19279.638671875,19802.58984375,2024-12-01 01:29:42
2024-10-03,19168.564453125,19793.33984375,2024-12-01 01:33:32
2024-10-04,18814.267578125,20035.01953125,2024-12-01 01:37:21
2024-10-07,19230.0625,19800.740234375,2024-12-01 01:41:11
2024-10-08,18949.9140625,20107.779296875,2024-12-01 01:45:05
2024-10-09,18957.427734375,20268.859375,2024-12-01 01:48:57
2024-10-10,18670.193359375,20241.759765625,2024-12-01 01:52:48
2024-10-11,18794.330078125,20271.970703125,2024-12-01 01:56:38
2024-10-14,19264.0390625,20439.05078125,2024-12-01 02:00:49
2024-10-15,19120.82421875,20159.830078125,2024-12-01 02:04:43
2024-10-16,20132.05078125,20174.05078125,2024-12-01 02:08:34
2024-10-17,19796.37109375,20190.419921875,2024-12-01 02:12:24
2024-10-18,19979.837890625,20324.0390625,2024-12-01 02:16:14
2024-10-21,20014.935546875,20361.470703125,2024-12-01 02:20:07
2024-10-22,20438.560546875,20390.4609375,2024-12-01 02:23:57
2024-10-23,19974.400390625,20066.9609375,2024-12-01 02:27:48
2024-10-24,19316.408203125,20232.869140625,2024-12-01 02:31:38
2024-10-25,20288.921875,20352.01953125,2024-12-01 02:35:30
2024-10-28,19414.986328125,20351.0703125,2024-12-01 02:39:21
2024-10-29,20366.287109375,20550.650390625,2024-12-01 02:43:12
2024-10-30,20347.7265625,20387.69921875,2024-12-01 02:47:02
