Date,Prediction,Actual,Current_Time
2024-03-05,58629.184,63801.19921875,
2024-03-06,62662.574,66106.8046875,
2024-03-07,59027.55,66925.484375,
2024-03-08,66905.38,68300.09375,
2024-03-09,63577.08,68498.8828125,
2024-03-12,61332.34,71481.2890625,
2024-03-13,59445.43,73083.5,
2024-03-14,64620.523,71396.59375,
2024-03-15,63618.992,69403.7734375,
2024-03-16,64780.19,65315.1171875,
2024-03-19,65479.973,61912.7734375,
2024-03-20,55703.934,67913.671875,
2024-03-21,70273.68,65491.390625,
2024-03-22,62856.305,63778.76171875,
2024-03-23,69889.21,64062.203125,
2024-03-26,65899.11,69987.8359375,
2024-03-27,67151.97,69455.34375,
2024-03-28,67716.89,70744.953125,
2024-03-29,65934.37,69892.828125,
2024-03-30,65742.39,69645.3046875,
2024-04-02,63296.68,65446.97265625,
2024-04-03,60508.047,65980.8125,
2024-04-04,61746.445,68508.84375,
2024-04-05,68620.49,67837.640625,
2024-04-06,64618.863,68896.109375,
2024-04-09,70833.2,69139.015625,
2024-04-10,69025.81,70587.8828125,
2024-04-11,67764.555,70060.609375,
2024-04-12,68325.47,67195.8671875,
2024-04-13,63692.6,63821.47265625,
2024-04-16,62810.324,63811.86328125,
2024-04-17,60723.855,61276.69140625,
2024-04-18,57977.84,63512.75390625,
2024-04-19,61767.242,63843.5703125,
2024-04-20,59794.977,64994.44140625,
2024-04-23,64902.85,66407.2734375,
2024-04-24,62912.867,64276.8984375,
2024-04-25,64752.98,64481.70703125,
2024-04-26,57254.484,63755.3203125,
2024-04-27,59211.457,63419.140625,
2024-04-30,62433.766,60636.85546875,
2024-05-01,60640.055,58254.01171875,
2024-05-02,57162.426,59123.43359375,
2024-05-03,60575.65,62889.8359375,
2024-05-04,64674.633,63891.47265625,
2024-05-07,63601.53,62334.81640625,
2024-05-08,65247.703,61187.94140625,
2024-05-09,61916.676,63049.9609375,
2024-05-10,58694.816,60792.77734375,
2024-05-11,56850.824,60793.7109375,
2024-05-14,61723.94,61552.7890625,
2024-05-15,60971.152,66267.4921875,
2024-05-16,60814.46,65231.58203125,
2024-05-17,64444.93,67051.875,
2024-05-18,65189.504,66940.8046875,
2024-05-21,64292.355,70136.53125,
2024-05-22,67475.17,69122.3359375,
2024-05-23,66106.766,67929.5625,
2024-05-24,67120.72,68526.1015625,
2024-05-25,64154.016,69265.9453125,
2024-05-28,68210.516,68296.21875,
2024-05-29,65899.83,67578.09375,
2024-05-30,67183.18,68364.9921875,
2024-05-31,66913.18,67491.4140625,
2024-06-01,67553.164,67706.9375,
2024-06-04,67754.1,70567.765625,
2024-06-05,67430.805,71082.8203125,
2024-06-06,68308.49,70757.1640625,
2024-06-07,68229.35,69342.5859375,
2024-06-08,68728.87,69305.7734375,
2024-06-11,67931.21,67332.03125,
2024-06-12,67729.31,68241.1875,
2024-06-13,67490.68,66756.3984375,
2024-06-14,66255.945,66011.09375,
2024-06-15,66586.19,66191.0,
2024-06-18,66601.25,65140.74609375,
2024-06-19,67178.22,64960.296875,
2024-06-20,64858.555,64828.65625,
2024-06-21,63669.445,64096.19921875,
2024-06-22,64921.695,64252.578125,
2024-06-25,62965.18,61804.640625,
2024-06-26,61907.816,60811.27734375,
2024-06-27,61038.95,61604.80078125,
2024-06-28,60555.285,60320.13671875,
2024-06-29,60907.332,60887.37890625,
2024-07-02,61425.7,62029.015625,
2024-07-03,59305.707,60173.921875,
2024-07-04,60174.09,56977.703125,
2024-07-05,59218.62,56662.375,
2024-07-06,55909.062,58303.5390625,
2024-07-09,56253.168,58009.2265625,
2024-07-10,58311.12,57742.49609375,
2024-07-11,55794.504,57344.9140625,
2024-07-12,55653.76,57899.46484375,
2024-07-13,54243.36,59231.953125,
2024-07-16,66503.27,65097.1484375,
2024-07-17,69594.57,64118.79296875,
2024-07-18,67097.81,63974.06640625,
2024-07-19,67692.41,66710.15625,
2024-07-20,66631.24,67163.6484375,
2024-07-23,68692.55,65927.671875,
2024-07-24,69257.37,65372.1328125,
2024-07-25,69529.92,65777.2265625,
2024-07-26,68603.1,67912.0625,
2024-07-27,68815.914,67813.3359375,
2024-07-30,68076.42,66201.015625,
2024-07-31,69809.23,64619.25,
2024-08-01,68038.516,65357.5,
2024-08-02,69123.21,61415.06640625,
2024-08-03,65831.484,60680.09375,
2024-08-06,66364.65,56034.31640625,
2024-08-07,67472.53,55027.4609375,
2024-08-08,56921.07,61710.13671875,
2024-08-09,68612.55,60880.11328125,2025-01-22 16:36:52
