Date,Prediction,Actual,Current_Time
2024-03-04,17953.876953125,18226.48046875,
2024-03-05,17830.224609375,17897.869140625,
2024-03-06,17889.8671875,18017.5703125,
2024-03-07,17981.96484375,18297.990234375,
2024-03-08,17980.2265625,18018.44921875,
2024-03-11,17921.369140625,17951.689453125,
2024-03-12,18233.5390625,18219.109375,
2024-03-13,17953.40234375,18068.470703125,
2024-03-14,18091.154296875,18014.810546875,
2024-03-15,18029.63671875,17808.25,
2024-03-18,18134.244140625,17985.009765625,
2024-03-19,17928.154296875,18032.19921875,
2024-03-20,18002.521484375,18240.109375,
2024-03-21,18050.578125,18320.380859375,
2024-03-22,17995.4140625,18339.439453125,
2024-03-25,18140.11328125,18277.060546875,
2024-03-26,18125.115234375,18210.5390625,
2024-03-27,18208.9921875,18280.83984375,
2024-03-28,18138.33984375,18254.689453125,
2024-03-28,18205.8359375,18254.689453125,
2024-04-01,18111.189453125,18293.19921875,
2024-04-02,18236.23046875,18121.779296875,
2024-04-03,18326.408203125,18160.189453125,
2024-04-04,18195.501953125,17878.779296875,
2024-04-05,18039.9453125,18108.4609375,
2024-04-08,17971.587890625,18100.189453125,
2024-04-09,18060.50390625,18169.900390625,
2024-04-10,18208.873046875,18011.66015625,
2024-04-11,18240.029296875,18307.98046875,
2024-04-12,18188.501953125,18003.490234375,
2024-04-15,18024.099609375,17706.830078125,
2024-04-16,18047.78515625,17713.66015625,
2024-04-17,18088.58984375,17493.619140625,
2024-04-18,17963.42578125,17394.310546875,
2024-04-19,17969.5,17037.650390625,
2024-04-22,17537.814453125,17210.890625,
2024-04-23,17504.009765625,17471.470703125,
2024-04-24,17744.486328125,17526.80078125,
2024-04-25,17305.56640625,17430.5,
2024-04-26,17355.267578125,17718.30078125,
2024-04-29,17649.203125,17782.720703125,
2024-04-30,17558.021484375,17440.689453125,
2024-05-01,17204.02734375,17318.55078125,
2024-05-02,17113.451171875,17541.5390625,
2024-05-03,17293.017578125,17890.80078125,
2024-05-06,17608.169921875,18093.5703125,
2024-05-07,17702.013671875,18091.44921875,
2024-05-08,17720.228515625,18085.009765625,
2024-05-09,17936.4375,18113.4609375,
2024-05-10,18097.208984375,18161.1796875,
2024-05-13,17837.830078125,18198.609375,
2024-05-14,18103.203125,18322.76953125,
2024-05-15,18035.791015625,18596.650390625,
2024-05-16,18365.22265625,18557.9609375,
2024-05-17,18108.1328125,18546.23046875,
2024-05-20,18198.0546875,18674.189453125,
2024-05-21,18009.029296875,18713.80078125,
2024-05-22,18505.830078125,18705.19921875,
2024-05-23,18696.1953125,18623.390625,
2024-05-24,17865.96875,18808.349609375,
2024-05-24,18190.642578125,18808.349609375,
2024-05-28,17961.58984375,18869.439453125,
2024-05-29,18003.330078125,18736.75,
2024-05-30,17999.83203125,18538.66015625,
2024-05-31,17942.107421875,18536.650390625,
2024-06-03,18334.517578125,18600.970703125,
2024-06-04,18006.150390625,18654.83984375,
2024-06-05,18327.47265625,19035.05078125,
2024-06-06,18576.939453125,19021.189453125,
2024-06-07,18577.54296875,19000.94921875,
2024-06-10,18800.91015625,19074.669921875,
2024-06-11,18707.529296875,19210.1796875,
2024-06-12,18310.111328125,19465.1796875,
2024-06-13,18860.69140625,19576.919921875,
2024-06-14,19194.931640625,19659.80078125,
2024-06-17,18953.6640625,19902.75,
2024-06-18,19189.765625,19908.859375,
2024-06-18,20017.173828125,19908.859375,
2024-06-20,19855.728515625,19752.30078125,
2024-06-21,19734.6328125,19700.4296875,
2024-06-24,19670.80078125,19474.619140625,
2024-06-25,18891.21484375,19701.130859375,
2024-06-26,18701.34765625,19751.05078125,
2024-06-27,18787.28125,19789.029296875,
2024-06-28,18643.12890625,19682.869140625,
2024-07-01,19602.685546875,19812.220703125,
2024-07-02,19486.6015625,20011.890625,
2024-07-03,19560.3984375,20186.630859375,
2024-07-03,19765.94140625,20186.630859375,
2024-07-05,20136.396484375,20391.970703125,
2024-07-08,19904.80859375,20439.5390625,
2024-07-09,20354.248046875,20453.01953125,
2024-07-10,17847.201171875,20675.380859375,
2024-07-11,20540.90234375,20211.359375,
2024-07-12,20131.77734375,20331.490234375,
2024-07-15,20518.66796875,20386.880859375,
2024-07-16,20335.833984375,20398.619140625,
2024-07-17,20218.947265625,19799.140625,
2024-07-18,19987.55859375,19705.08984375,
2024-07-19,20211.265625,19522.619140625,
2024-07-22,19349.21484375,19822.869140625,
2024-07-23,18921.525390625,19754.33984375,
2024-07-24,20046.33984375,19032.390625,
2024-07-25,19212.021484375,18830.580078125,
2024-07-26,19091.6328125,19023.66015625,
2024-07-29,18839.6171875,19059.490234375,
2024-07-30,18987.462890625,18796.26953125,
2024-07-31,18295.087890625,19362.4296875,
2024-08-01,18863.849609375,18890.390625,
2024-08-02,18588.439453125,18440.849609375,
2024-08-05,18353.86328125,17895.16015625,
2024-08-06,17727.046875,18077.919921875,
2024-08-07,18078.673828125,17867.369140625,
2024-08-08,17496.1796875,18413.8203125,
2024-08-09,18070.12890625,18513.099609375,
2024-08-12,18477.9375,18542.029296875,
2024-08-13,17896.42578125,19006.4296875,
2024-08-14,18506.431640625,19022.6796875,
2024-08-15,19061.734375,19490.150390625,
2024-08-16,19137.04296875,19508.51953125,
2024-08-19,19386.275390625,19766.490234375,
2024-08-20,19610.517578125,19719.8203125,
2024-08-21,19786.8984375,19824.83984375,
2024-08-22,19986.041015625,19491.83984375,
2024-08-23,19726.916015625,19720.869140625,
2024-08-26,20055.328125,19516.439453125,
2024-08-27,19723.37890625,19581.51953125,
