Date,Prediction,Actual,Current_Time
2024-03-05,61065.95703125,63801.19921875,
2024-03-06,59494.875,66106.8046875,
2024-03-07,65590.03125,66925.484375,
2024-03-08,62632.9453125,68300.09375,
2024-03-09,60820.75390625,68498.8828125,
2024-03-12,65433.6875,71481.2890625,
2024-03-13,65932.671875,73083.5,
2024-03-14,68998.34375,71396.59375,
2024-03-15,64087.3203125,69403.7734375,
2024-03-16,62949.1484375,65315.1171875,
2024-03-19,67372.9921875,61912.7734375,
2024-03-20,66482.9296875,67913.671875,
2024-03-21,69742.234375,65491.390625,
2024-03-22,66483.3515625,63778.76171875,
2024-03-23,67423.125,64062.203125,
2024-03-26,69652.4765625,69987.8359375,
2024-03-27,67854.390625,69455.34375,
2024-03-28,67276.8359375,70744.953125,
2024-03-29,64932.5703125,69892.828125,
2024-03-30,64995.734375,69645.3046875,
2024-04-02,61686.92578125,65446.97265625,
2024-04-03,61804.5234375,65980.8125,
2024-04-04,59785.8671875,68508.84375,
2024-04-05,65486.22265625,67837.640625,
2024-04-06,64492.0234375,68896.109375,
2024-04-09,69956.5703125,69139.015625,
2024-04-10,70341.9296875,70587.8828125,
2024-04-11,70488.8203125,70060.609375,
2024-04-12,71200.7109375,67195.8671875,
2024-04-13,70504.2421875,63821.47265625,
2024-04-16,57785.1796875,63811.86328125,
2024-04-17,62337.46484375,61276.69140625,
2024-04-18,58037.7421875,63512.75390625,
2024-04-19,58874.79296875,63843.5703125,
2024-04-20,62531.0078125,64994.44140625,
2024-04-23,63094.6484375,66407.2734375,
2024-04-24,59139.1328125,64276.8984375,
2024-04-25,62639.91015625,64481.70703125,
2024-04-26,58547.37890625,63755.3203125,
2024-04-27,55577.80859375,63419.140625,
2024-04-30,61561.1484375,60636.85546875,
2024-05-01,62531.015625,58254.01171875,
2024-05-02,56693.14453125,59123.43359375,
2024-05-03,61498.46875,62889.8359375,
2024-05-04,60193.4140625,63891.47265625,
2024-05-07,60893.765625,62334.81640625,
2024-05-08,58710.14453125,61187.94140625,
2024-05-09,59340.625,63049.9609375,
2024-05-10,56947.4140625,60792.77734375,
2024-05-11,55514.62109375,60793.7109375,
2024-05-14,58309.4765625,61552.7890625,
2024-05-15,60923.68359375,66267.4921875,
2024-05-16,63453.19140625,65231.58203125,
2024-05-17,67297.734375,67051.875,
2024-05-18,65658.515625,66940.8046875,
2024-05-21,65622.140625,70136.53125,
2024-05-22,66962.4921875,69122.3359375,
2024-05-23,66365.140625,67929.5625,
2024-05-24,64109.22265625,68526.1015625,
2024-05-25,65547.375,69265.9453125,
2024-05-28,65514.84765625,68296.21875,
2024-05-29,68058.609375,67578.09375,
2024-05-30,67679.234375,68364.9921875,
2024-05-31,66162.6953125,67491.4140625,
2024-06-01,68433.3359375,67706.9375,
2024-06-04,67923.546875,70567.765625,
2024-06-05,70052.5703125,71082.8203125,
2024-06-06,69840.2578125,70757.1640625,
2024-06-07,69305.8828125,69342.5859375,
2024-06-08,68070.9375,69305.7734375,
2024-06-11,68460.9453125,67332.03125,
2024-06-12,66079.171875,68241.1875,
2024-06-13,69090.2109375,66756.3984375,
2024-06-14,67708.3046875,66011.09375,
2024-06-15,67695.1953125,66191.0,
2024-06-18,66588.3203125,65140.74609375,
2024-06-19,67381.984375,64960.296875,
2024-06-20,67339.0703125,64828.65625,
2024-06-21,66549.765625,64096.19921875,
2024-06-22,63807.36328125,64252.578125,
2024-06-25,61815.34375,61804.640625,
2024-06-26,61144.73046875,60811.27734375,
2024-06-27,60897.578125,61604.80078125,
2024-06-28,60257.10546875,60320.13671875,
2024-06-29,58708.68359375,60887.37890625,
2024-07-02,62176.62109375,62029.015625,
2024-07-03,59933.16015625,60173.921875,
2024-07-04,58595.45703125,56977.703125,
2024-07-05,58731.34375,56662.375,
2024-07-06,63914.54296875,58303.5390625,
2024-07-09,58882.30859375,58009.2265625,
2024-07-10,59253.56640625,57742.49609375,
2024-07-11,56948.4453125,57344.9140625,
2024-07-12,59189.22265625,57899.46484375,
2024-07-13,57107.32421875,59231.953125,
2024-07-16,60328.87890625,65097.1484375,
2024-07-17,64748.52734375,64118.79296875,
2024-07-18,68921.9375,63974.06640625,
2024-07-19,67227.65625,66710.15625,
2024-07-20,69413.359375,67163.6484375,
2024-07-23,67280.46875,65927.671875,
2024-07-24,67217.265625,65372.1328125,
2024-07-25,67994.390625,65777.2265625,
2024-07-26,68204.3984375,67912.0625,
2024-07-27,69593.96875,67813.3359375,
2024-07-30,69707.828125,66201.015625,
2024-07-31,68953.4765625,64619.25,
2024-08-01,68670.9453125,65357.5,
2024-08-02,68421.5234375,61415.06640625,
2024-08-03,65744.03125,60680.09375,
2024-08-06,64066.828125,56034.31640625,
2024-08-07,63926.30859375,55027.4609375,
2024-08-08,60956.31640625,61710.13671875,
2024-08-09,69010.8203125,60880.11328125,
