Date,Prediction,Actual,Current_Time,predictionAdjusted,actualAdjusted,predictionDiff,actualDiff
2024-03-11,2385.624267578125,2479.360107421875,,2386.774169921875,2504.800048828125,1.14990234375,25.43994140625
2024-03-12,2430.77099609375,2521.909912109375,,2439.455810546875,2514.919921875,8.684814453125,-6.989990234375
2024-03-13,2514.898193359375,2527.4599609375,,2379.94140625,2510.43994140625,-134.956787109375,-17.02001953125
2024-03-14,2495.445068359375,2527.85009765625,,2396.1162109375,2550.5,-99.328857421875,22.64990234375
2024-03-15,2470.64990234375,2533.6201171875,,2453.737548828125,2534.340087890625,-16.912353515625,0.719970703125
2024-03-18,2587.915283203125,2504.800048828125,,2385.624267578125,2526.070068359375,-202.291015625,21.27001953125
2024-03-19,2389.314697265625,2514.919921875,,2430.77099609375,2547.969970703125,41.456298828125,33.050048828125
2024-03-20,2524.560302734375,2510.43994140625,,2514.898193359375,2537.3701171875,-9.662109375,26.93017578125
2024-03-21,2509.1474609375,2550.5,,2495.445068359375,2518.27001953125,-13.702392578125,-32.22998046875
2024-03-22,2518.658935546875,2534.340087890625,,2470.64990234375,2508.64990234375,-48.009033203125,-25.690185546875
2024-03-25,2502.595947265625,2526.070068359375,,2587.915283203125,2513.52001953125,85.3193359375,-12.550048828125
2024-03-26,2538.909912109375,2547.969970703125,,2389.314697265625,2521.860107421875,-149.59521484375,-26.10986328125
2024-03-27,2488.597412109375,2537.3701171875,,2524.560302734375,2504.800048828125,35.962890625,-32.570068359375
2024-03-28,2492.21875,2518.27001953125,,2509.1474609375,2522.360107421875,16.9287109375,4.090087890625
2024-04-02,2492.4619140625,2508.64990234375,,2518.658935546875,2513.5,26.197021484375,4.85009765625
2024-04-03,2515.14794921875,2513.52001953125,,2502.595947265625,2519.050048828125,-12.552001953125,5.530029296875
2024-04-04,2525.841796875,2521.860107421875,,2538.909912109375,2499.699951171875,13.068115234375,-22.16015625
2024-04-05,2529.7158203125,2504.800048828125,,2488.597412109375,2506.989990234375,-41.118408203125,2.18994140625
2024-04-08,2527.364501953125,2522.360107421875,,2492.21875,2523.39990234375,-35.145751953125,1.039794921875
2024-04-09,2525.05517578125,2513.5,,2492.4619140625,2491.760009765625,-32.59326171875,-21.739990234375
2024-04-10,2467.15869140625,2519.050048828125,,2515.14794921875,2505.27001953125,47.9892578125,-13.780029296875
2024-04-11,2524.64599609375,2499.699951171875,,2525.841796875,2517.68994140625,1.19580078125,17.989990234375
2024-04-12,2517.282470703125,2506.989990234375,,2529.7158203125,2502.070068359375,12.433349609375,-4.919921875
2024-04-15,2526.777587890625,2523.39990234375,,2527.364501953125,2511.409912109375,0.5869140625,-11.989990234375
2024-04-16,2494.968017578125,2491.760009765625,,2525.05517578125,2546.330078125,30.087158203125,54.570068359375
2024-04-17,2492.974609375,2505.27001953125,,2467.15869140625,2543.2099609375,-25.81591796875,37.93994140625
2024-04-18,2506.581298828125,2517.68994140625,,2524.64599609375,2525.39990234375,18.064697265625,7.7099609375
2024-04-19,2471.580810546875,2502.070068359375,,2517.282470703125,2557.699951171875,45.70166015625,55.6298828125
2024-04-22,2495.0771484375,2511.409912109375,,2526.777587890625,2566.81005859375,31.700439453125,55.400146484375
2024-04-23,2520.423828125,2546.330078125,,2494.968017578125,2556.39990234375,-25.455810546875,10.06982421875
2024-04-24,2509.918701171875,2543.2099609375,,2492.974609375,2525.2099609375,-16.944091796875,-18.0
2024-04-25,2523.577880859375,2525.39990234375,,2506.581298828125,2540.080078125,-16.99658203125,14.68017578125
2024-04-26,2512.650390625,2557.699951171875,,2471.580810546875,2563.7900390625,-41.069580078125,6.090087890625
2024-04-29,2516.533447265625,2566.81005859375,,2495.0771484375,2593.169921875,-21.456298828125,26.35986328125
2024-04-30,2457.04638671875,2556.39990234375,,2520.423828125,2589.10009765625,63.37744140625,32.7001953125
2024-05-02,2534.41357421875,2525.2099609375,,2509.918701171875,2627.8701171875,-24.494873046875,102.66015625
2024-05-03,2527.49072265625,2540.080078125,,2523.577880859375,2624.760009765625,-3.912841796875,84.679931640625
2024-05-06,2539.353759765625,2563.7900390625,,2512.650390625,2632.85009765625,-26.703369140625,69.06005859375
2024-05-07,2542.61962890625,2593.169921875,,2516.533447265625,2627.52001953125,-26.086181640625,34.35009765625
2024-05-08,2559.182373046875,2589.10009765625,,2457.04638671875,2608.820068359375,-102.135986328125,19.719970703125
2024-05-10,2562.70263671875,2627.8701171875,,2534.41357421875,2602.199951171875,-28.2890625,-25.670166015625
2024-05-13,2556.74658203125,2624.760009765625,,2527.49072265625,2632.169921875,-29.255859375,7.409912109375
2024-05-14,2589.5078125,2632.85009765625,,2539.353759765625,2631.489990234375,-50.154052734375,-1.360107421875
2024-05-15,2527.81640625,2627.52001953125,,2542.61962890625,2634.510009765625,14.80322265625,6.989990234375
2024-05-16,2580.962158203125,2608.820068359375,,2559.182373046875,2641.469970703125,-21.77978515625,32.64990234375
2024-05-17,2572.314453125,2602.199951171875,,2562.70263671875,2624.5,-9.61181640625,22.300048828125
